index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,1,1,501631,24385.1,0.04861162886663702,0.4413444992093888
1,0,1,2,1,1,501631,28238.2,0.056292772974556995,0.4489159402242575
2,0,2,2,1,1,501631,30135.0,0.06007403848645716,0.4574710330862475
3,1,0,2,1,1,501631,31078.4,0.0619547037563468,0.4671876979752616
4,1,1,2,1,1,501631,31462.3,0.06272000733606974,0.4766052801620293
5,1,2,2,1,1,501631,31665.7,0.0631254846690097,0.48638250105234737
6,2,0,2,1,1,501631,31780.5,0.06335433814895809,0.4971478610208197
7,2,1,2,1,1,501631,31844.9,0.06348271936941695,0.5070277397372783
8,2,2,2,1,1,501631,31879.1,0.0635508969740706,0.516417893473456
9,3,0,2,1,1,501631,31895.3,0.06358319162890651,0.5264454426791748
10,3,1,2,1,1,501631,31908.7,0.06360990449154855,0.5351807205268553
11,3,2,2,1,1,501631,31919.5,0.06363143426143919,0.5434406501384366
12,4,0,2,1,1,501631,31932.3,0.063656951025754,0.5524060508318658
13,4,1,2,1,1,501631,31964.5,0.06372114163598341,0.5602397603782469
14,4,2,2,1,1,501631,32028.7,0.06384912415699986,0.5679797345488702
15,5,0,2,1,1,501631,32232.7,0.06425579758826708,0.5764292478691349
16,5,1,2,1,1,501631,32847.4,0.06548120032454136,0.5838336791578091
17,5,2,2,1,1,501631,34274.0,0.06832512344731485,0.5912770972266574
