evolution$generation;evolution$evaluated;evolution$samples;maxProbaToSwitch;constraintsStrength;inertiaCoefficient;healthyDietReward;objective$deltaHealth;objective$deltaSocialInequality;%Healthy_vs._2002;%Healthy_vs._2008;socialIneq_vs._2002;typo;typo_name;socialInequality;deltaSocialInequality;opinionMedian;numberOfHealthy;deltaHealth
376800;376800;1;0,751;0,100;1,000;0,000;331,736,427;0,138;down;down;up;down_down_up;decrease%Healthy;[1.7569191058549687];[0.13782823564503133];[0.49988672137260437];[834951];[331736.42711645283]
376800;376800;6;0,750;0,100;1,000;0,000;333,771,427;0,149;down;down;up;down_down_up;decrease%Healthy;[1.7525945924779105,1.7540192352458608,1.7427673698247963,1.749312240252607,1.7412857735082057,1.742133022717344];[0.14215274902208952,0.14072810625413923,0.15197997167520372,0.14543510124739312,0.15346156799179433,0.15261431878265608];[0.4999333918094635,0.4999331533908844,0.49993330240249634,0.49993327260017395,0.4999333322048187,0.49993306398391724];[834948,832940,835222,834168,833731,834948];[332013.5408605285,334701.42711645283,332841.42711645283,332113.42711645283,335052.42711645283,334725.42711645283]
376800;376800;2;0,751;0,098;1,000;0,000;334,153,927;0,140;down;down;up;down_down_up;decrease%Healthy;[1.7625539632685843,1.745986394640198];[0.13219337823141575,0.14876094685980212];[0.4997502863407135,0.49975064396858215];[827118,826925];[333369.42711645283,334938.42711645283]
376800;376800;9;0,749;0,097;1,000;0,000;334,658,427;0,128;down;down;up;down_down_up;decrease%Healthy;[1.7662218959212503,1.7696432627743401,1.7665457668386697,1.756434185222282,1.7667110959021646,1.7696451049204427,1.7694793140516023,1.763192441014371,1.7589183006338713];[0.12852544557874968,0.12510407872565987,0.1282015746613303,0.138313156277718,0.12803624559783544,0.12510223657955732,0.1252680274483977,0.13155490048562912,0.13582904086612868];[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5];[818522,817720,816927,815986,817833,817780,815267,817438,818191];[333959.42711645283,333931.42711645283,335330.42711645283,334215.42711645283,336478.42711645283,336057.42711645283,334658.42711645283,335249.42711645283,334452.42711645283]
376800;376800;1;0,749;0,097;1,000;0,000;335,441,427;0,123;down;down;up;down_down_up;decrease%Healthy;[1.7713301959795948];[0.12341714552040517];[0.5];[817706];[335441.42711645283]
376800;376800;1;0,748;0,097;1,000;0,000;335,744,427;0,123;down;down;up;down_down_up;decrease%Healthy;[1.7720880068092864];[0.12265933469071366];[0.499999463558197];[811529];[335744.42711645283]
376800;376800;1;0,748;0,097;1,000;0,000;336,807,736;0,117;down;down;up;down_down_up;decrease%Healthy;[1.7780866882329214];[0.11666065326707864];[0.499997079372406];[808900];[336807.73605954205]
376800;376800;13;0,748;0,097;1,000;0,000;337,627,427;0,123;down;down;up;down_down_up;decrease%Healthy;[1.7820885350662095,1.7707967050367266,1.7734984242261387,1.7653028472799197,1.7665269272952309,1.775400699185837,1.7697765628584747,1.763791578560055,1.7718086675052358,1.7742583229985245,1.766025652394491,1.7733080990123757,1.775454066878728];[0.11265880643379056,0.12395063646327342,0.12124891727386133,0.1294444942200803,0.12822041420476915,0.11934664231416292,0.12497077864152528,0.13095576293994493,0.12293867399476421,0.12048901850147553,0.12872168910550896,0.12143924248762428,0.11929327462127204];[0.4999935030937195,0.4999935030937195,0.4999935030937195,0.4999935030937195,0.4999935030937195,0.4999935030937195,0.4999935030937195,0.4999935030937195,0.4999935030937195,0.4999935030937195,0.49999353289604187,0.4999935030937195,0.4999935030937195];[807993,807686,808398,809062,807211,808809,807480,808612,808958,808673,807902,808183,806620];[337872.73605954205,337627.42711645283,336183.73605954205,337531.73605954205,338012.73605954205,338384.73605954205,337235.73605954205,338423.73605954205,337543.42711645283,336638.73605954205,338589.73605954205,337436.73605954205,339039.73605954205]
376800;376800;1;0,748;0,097;1,000;0,000;337,250,736;0,112;down;down;up;down_down_up;decrease%Healthy;[1.7824285640590676];[0.11231877744093244];[0.49999335408210754];[807723];[337250.73605954205]
376800;376800;5;0,748;0,096;1,000;0,000;339,167,736;0,116;down;down;up;down_down_up;decrease%Healthy;[1.7857034256792603,1.77866925944013,1.7789942699346097,1.7719819007119553,1.7757336067541614];[0.10904391582073969,0.11607808205986991,0.11575307156539028,0.12276544078804474,0.11901373474583865];[0.4996148347854614,0.499613493680954,0.4996151328086853,0.4996129274368286,0.4996143877506256];[802493,802687,801460,801076,800713];[338730.73605954205,339620.73605954205,339167.73605954205,339047.73605954205,340674.73605954205]
376800;376800;9;0,747;0,096;1,000;0,000;339,513,736;0,122;down;down;up;down_down_up;decrease%Healthy;[1.7885945704035262,1.7792909495736327,1.7675081565493964,1.7778428290412343,1.7691601862753001,1.7721902228638695,1.7728730489151185,1.7756622978883938,1.7711066069003152];[0.10615277109647381,0.11545639192636736,0.1272391849506036,0.11690451245876576,0.12558715522469988,0.1225571186361305,0.12187429258488147,0.11908504361160621,0.12364073459968483];[0.499831885099411,0.4998316466808319,0.499832421541214,0.49983108043670654,0.4998317360877991,0.4998322129249573,0.4998317360877991,0.4998322129249573,0.49983149766921997];[802407,805232,805015,803148,802809,803966,805445,804873,802837];[339148.73605954205,339513.73605954205,339730.73605954205,339413.73605954205,339934.73605954205,341149.73605954205,338746.73605954205,339592.73605954205,338688.73605954205]
376800;376800;13;0,748;0,096;0,999;0,000;340,134,736;0,117;down;down;up;down_down_up;decrease%Healthy;[1.7886741835741617,1.7773203830013786,1.7784875306225816,1.777542994599403,1.7676663870503821,1.7757878216565168,1.7785512858696644,1.7823728717207015,1.7617552802011816,1.770826778077607,1.7779285026333944,1.7731804673393219,1.7741404037890207];[0.10607315792583827,0.11742695849862139,0.11625981087741843,0.117204346900597,0.12708095444961787,0.11895951984348319,0.11619605563033564,0.11237446977929855,0.13299206129881846,0.12392056342239299,0.1168188388666056,0.12156687416067813,0.1206069377109793];[0.4994257986545563,0.4994242787361145,0.4994286894798279,0.49942564964294434,0.4994249641895294,0.4994257390499115,0.4994266927242279,0.4994262158870697,0.49942708015441895,0.4994252920150757,0.4994262456893921,0.4994262158870697,0.49942687153816223];[801662,802376,805453,804005,803251,803259,804610,801487,803587,802888,803402,802933,804231];[339355.73605954205,340031.73605954205,340154.73605954205,340128.73605954205,340642.73605954205,340802.73605954205,339061.73605954205,340752.73605954205,339164.73605954205,340401.73605954205,339517.73605954205,341240.73605954205,340134.73605954205]
