Sex,Age,Edu,n_idf,N_2002,N_2008,conso_5_2002,conso_5_2008
1,1,1,493871,52,148,0.019230769,0.027027027
1,1,2,496964,97,223,0.030927835,0.049327354
1,1,3,199476,84,137,0.035714286,0.072992701
1,2,1,1077670,241,355,0.049792531,0.081690141
1,2,2,662407,122,225,0.073770492,0.111111111
1,2,3,658465,118,180,0.059322034,0.166666667
1,3,1,299094,95,149,0.147368421,0.174496644
1,3,2,182988,31,46,0.032258065,0.239130435
1,3,3,187662,28,34,0.178571429,0.205882353
2,1,1,501631,66,110,0.03030303,0.036363636
2,1,2,547970,121,252,0.049586777,0.087301587
2,1,3,193543,100,195,0.07,0.076923077
2,2,1,1107531,341,369,0.134897361,0.105691057
2,2,2,813463,178,302,0.146067416,0.119205298
2,2,3,596958,124,211,0.14516129,0.170616114
2,3,1,321202,235,241,0.2,0.219917012
2,3,2,242236,46,87,0.260869565,0.310344828
2,3,3,185767,17,40,0.235294118,0.3
